organisation,sponsor_level,website,facebook,linkedin,instagram,twitter,youtube,pinterest,google_plus
Deez-Picz & VIDZ,Bronze Sponsor,,https://www.facebook.com/Deez-Picz-VIDZ-1538133012890984/,,https://www.instagram.com/challenge/3001121163/mu5A0FCaoc/,,,,
SURE Print & Graphics,Silver Sponsor,http://www.sureprint.ca/,https://www.facebook.com/sureorleans,,,https://twitter.com/sureorleans,,,
Talk To The Mike,Bronze Sponsor,,https://m.facebook.com/TALK-TO-THE-MIKE-2491178207574317/,,https://www.instagram.com/talk_to_the_mike/,https://twitter.com/talktothemike3,https://www.youtube.com/channel/UCIehZHhb4SEN7wJ_VmzF5bQ?app=desktop,,
CIMC,Bronze Sponsor,http://www.cimcweb.com/,,,,,,,
Pita Pit Orleans & Kanata,Food Sponsor,https://pitapit.ca/,"https://www.facebook.com/pitapitkanata
https://www.facebook.com/pitapitorleans",,,"https://twitter.com/pitapitkanata
https://twitter.com/PitaPitOrleans",,,
Shop Ottawa,Silver Sponsor,http://www.shopottawa.com/,http://www.facebook.com/shoplocally,,,https://twitter.com/shoplocally,,,
Mobile Optician Services,Bronze Sponsor,http://www.mobileoptician.ca/,https://www.facebook.com/MobileOpticianOttawa,,https://www.instagram.com/mobileoptician/,https://twitter.com/SylvieOptician,,,
Ottawa Special Events,Silver Sponsor,http://www.ottawaspecialevents.com/,https://www.facebook.com/OttawaSpecialEvents/,,,https://twitter.com/OttSpecEvents,,,
Media Mall,Silver Sponsor,http://www.mediamall.ca/,https://www.facebook.com/mediamallottawa/,https://www.linkedin.com/company/media-mall-marketing-inc,https://www.instagram.com/mediamallottawa/,,,,
Sax Appeal,Silver Sponsor,http://www.saxappeal.ca/,https://www.facebook.com/SaxAppealOttawa,http://linkedin.com/company/sax-appeal,http://instagram.com/saxappealottawa,http://twitter.com/SaxAppealOttawa,http://www.youtube.com/user/SaxAppealOttawa,http://pinterest.com/saxappealottawa,https://plus.google.com/+SaxAppealOttawa
East Coast Limos,Bronze Sponsor,http://www.eastcoastlimos.ca/,https://www.facebook.com/EastCoastLimos,,,https://twitter.com/EastCoastLimos,,,
